transaction_id,customer_id,merchant_id,timestamp,amount,currency,channel,device,merchant_city,merchant_country,mcc,merchant_category,time_since_prev_sec,distance_from_prev_km,velocity_10m,amount_z_by_customer,hour,dow,is_night,baseline_risk,account_age_days,merchant_risk,home_city,home_country,is_fraud
1837,1,394,2025-04-17 18:24:12.064194,55.02164288159258,CAD,ECOM,android,Calgary,CA,4121,Taxis,,,1,-0.5872781794074434,18,3,0,0.08417300147450697,113,0.1521793856749633,London,UK,0
2256,1,164,2025-07-16 05:54:35.064194,547.007576945048,CAD,POS,android,Montreal,CA,5300,Wholesale Clubs,7731023.0,3020.2421498427875,1,1.192327147347344,5,2,0,0.08417300147450697,202,0.08,London,UK,0
9379,1,230,2025-07-18 10:10:31.064194,251.27538520488457,CAD,ECOM,android,Mexico City,MX,4111,Transport,188156.0,3728.909520977484,1,0.5869644338364042,10,4,0,0.08417300147450697,204,0.08,London,UK,0
6997,1,230,2025-08-27 20:31:46.064194,39.841330882510974,CAD,ECOM,android,Mexico City,MX,4111,Transport,3493275.0,0.0,1,-0.8338995966028366,20,2,0,0.08417300147450697,245,0.08,London,UK,0
194,1,520,2025-08-31 23:27:39.064194,104.20378309722835,EUR,ECOM,android,San Francisco,US,7995,Gambling,356153.0,3037.6029998560134,1,-0.09553817593612288,23,6,0,0.08417300147450697,249,0.3,London,UK,0
16228,1,413,2025-09-01 07:24:22.064194,41.395695515438234,CAD,POS,android,New York,US,4121,Taxis,28603.0,4129.089228965265,1,-0.8047521349719559,7,0,0,0.08417300147450697,249,0.08,London,UK,0
19563,1,503,2025-09-14 20:13:06.064194,891.5524735785739,CAD,POS,android,Paris,FR,4789,Travel,1169324.0,5837.241675145557,1,1.5729740593800612,20,6,0,0.08417300147450697,263,0.30269544420036626,London,UK,0
16337,1,88,2025-09-17 11:17:31.064194,30.733449377968146,CAD,ATM,n/a,Toronto,CA,4121,Taxis,227065.0,5998.555650046911,1,-1.0307975536454528,11,2,0,0.08417300147450697,265,0.11578593208858269,London,UK,0
11225,2,125,2025-03-30 16:32:08.064194,75.05478968583863,CAD,POS,android,Mexico City,MX,7995,Gambling,,,1,0.3884884849495718,16,6,0,0.07721771076128525,0,0.3,Paris,FR,0
3352,2,428,2025-04-09 03:57:43.064194,103.27965024438994,CAD,POS,android,Paris,FR,5411,Grocery,818735.0,9196.254187484436,1,0.7582616877776045,3,2,1,0.07721771076128525,0,0.08,Paris,FR,0
16773,2,55,2025-05-06 19:21:07.064194,12.844844798271026,CAD,POS,android,Vancouver,CA,5411,Grocery,2388204.0,7920.842464483109,1,-1.607327257766943,19,1,0,0.07721771076128525,0,0.10084432212859144,Paris,FR,0
2078,2,399,2025-05-21 22:58:06.064194,30.95571662826729,CAD,POS,android,San Francisco,US,5812,Restaurants,1309019.0,1280.8418890185073,1,-0.6273823297666148,22,2,0,0.07721771076128525,0,0.08,Paris,FR,0
10203,2,463,2025-06-01 08:31:14.064194,55.53728772836846,EUR,POS,android,Toronto,CA,5812,Restaurants,898388.0,3646.6929494706687,1,0.04105548503992288,8,6,0,0.07721771076128525,0,0.10756314906984588,Paris,FR,0
15724,2,137,2025-06-05 02:42:10.064194,84.23908031659495,CAD,ECOM,android,Montreal,CA,4812,Telecom,324656.0,501.7556605985222,1,0.5220543946694458,2,3,1,0.07721771076128525,0,0.11368493069275831,Paris,FR,0
2,2,30,2025-06-08 20:35:18.064194,25.144461362186057,CAD,POS,android,Calgary,CA,5411,Grocery,323588.0,3020.2421498427875,1,-0.8625322893241014,20,6,0,0.07721771076128525,0,0.08607198714338365,Paris,FR,0
1500,2,27,2025-06-18 11:22:21.064194,40.7662232191072,USD,POS,android,London,UK,5812,Restaurants,830823.0,7034.98242853028,1,-0.3137101387801197,11,2,0,0.07721771076128525,0,0.1261175644337209,Paris,FR,0
6847,2,243,2025-06-25 10:00:10.064194,56.02610781981624,USD,ECOM,android,Paris,FR,7995,Gambling,599869.0,343.54945062741103,1,0.05114130466339536,10,2,0,0.07721771076128525,0,0.3,Paris,FR,0
1726,2,247,2025-07-16 19:26:08.064194,125.17549167923355,CAD,POS,android,Chicago,US,4789,Travel,1848358.0,6650.627144116943,1,0.9815597872226116,19,2,0,0.07721771076128525,0,0.3,Paris,FR,0
1850,2,544,2025-07-22 03:44:50.064194,15.86652427986083,CAD,ECOM,android,Mexico City,MX,5411,Grocery,461922.0,2721.5460045229556,1,-1.3760385837055382,3,1,1,0.07721771076128525,0,0.08,Paris,FR,0
11139,2,460,2025-07-24 15:15:52.064194,279.8643397044354,CAD,POS,android,Calgary,CA,4789,Travel,214262.0,3751.5920325142397,1,1.919046945785042,15,3,0,0.07721771076128525,0,0.3,Paris,FR,0
17340,2,377,2025-08-10 20:37:54.064194,123.46115852874368,CAD,ECOM,android,Montreal,CA,4789,Travel,1488122.0,3020.2421498427875,1,0.965532675848924,20,6,0,0.07721771076128525,0,0.3,Paris,FR,0
14032,2,189,2025-08-31 11:01:08.064194,25.648737250561386,CAD,ECOM,android,London,UK,4111,Transport,1779794.0,5220.831158246573,1,-0.8401501666132066,11,6,0,0.07721771076128525,0,0.09644746993119216,Paris,FR,0
3136,3,160,2025-04-06 21:46:17.064194,65.29498371694498,USD,POS,ios,New York,US,5300,Wholesale Clubs,,,1,0.20735618151893515,21,6,0,0.1294735501378835,0,0.11198748513138909,London,UK,0
12642,3,362,2025-05-19 05:31:10.064194,11.231367951821982,CAD,POS,ios,Mexico City,MX,4111,Transport,3656693.0,3359.383088682167,1,-1.6367099341020852,5,0,0,0.1294735501378835,4,0.08378646405215014,London,UK,0
9647,3,143,2025-05-31 04:05:27.064194,82.5257885549113,USD,POS,ios,New York,US,5411,Grocery,1031657.0,3359.383088682167,1,0.4594434000203822,4,5,1,0.1294735501378835,16,0.11365162605864088,London,UK,0
8251,3,418,2025-06-04 08:13:35.064194,140.05691265560432,CAD,POS,ios,London,UK,7995,Gambling,360488.0,5570.226616133887,1,1.031184396376267,8,2,0,0.1294735501378835,20,0.3,London,UK,0
8957,3,92,2025-06-10 16:15:01.064194,50.826995341332854,CAD,POS,ios,Chicago,US,4812,Telecom,547286.0,6352.981829681886,1,-0.06127404381349955,16,1,0,0.1294735501378835,26,0.17128528058494227,London,UK,0
5702,4,398,2025-04-30 12:28:10.064194,57.3833330528046,EUR,POS,ios,Toronto,CA,4812,Telecom,,,1,0.5522325609386016,12,2,0,0.02540779136858165,0,0.08,London,UK,0
5936,4,532,2025-05-06 13:41:29.064194,28.32132093497665,CAD,POS,ios,New York,US,4111,Transport,522799.0,547.9184608800983,1,-0.41191834625015045,13,1,0,0.02540779136858165,0,0.09642558985141789,London,UK,0
18483,4,134,2025-06-21 18:49:53.064194,72.56072300092681,USD,POS,ios,Mexico City,MX,5300,Wholesale Clubs,3992904.0,3359.383088682167,1,0.8757285867902866,18,5,0,0.02540779136858165,0,0.12217906690408957,London,UK,0
15427,4,288,2025-07-20 17:08:32.064194,77.49976100293824,CAD,ECOM,ios,Mexico City,MX,5999,Misc Retail,2499519.0,0.0,1,0.9667018830691437,17,6,0,0.02540779136858165,0,0.08,London,UK,0
7970,4,379,2025-08-03 08:54:40.064194,10.281622887307616,CAD,POS,ios,London,UK,4121,Taxis,1179968.0,8928.734540397903,1,-1.7490435981332877,8,6,0,0.02540779136858165,8,0.08,London,UK,0
4318,4,358,2025-08-16 02:43:47.064194,22.460566481966474,CAD,POS,ios,Montreal,CA,4121,Taxis,1100947.0,5220.831158246573,1,-0.7240934020141653,2,5,1,0.02540779136858165,20,0.12063150759891607,London,UK,0
14857,4,439,2025-09-01 07:25:50.064194,54.86044481686552,CAD,POS,ios,Toronto,CA,6011,ATM Cash,1399323.0,501.7556605985222,1,0.4903923155995688,7,0,0,0.02540779136858165,36,0.33540739152271387,London,UK,0
5716,5,67,2025-04-09 15:47:24.064194,28.567962638864966,CAD,POS,ios,Mexico City,MX,5999,Misc Retail,,,1,-0.9304610431272912,15,2,0,0.1482777617140995,0,0.08,Paris,FR,0
19288,5,478,2025-05-15 22:44:47.064194,109.96954130150858,USD,ECOM,ios,Toronto,CA,4812,Telecom,3135443.0,3262.759071878729,1,0.13592940341906334,22,3,0,0.1482777617140995,0,0.08,Paris,FR,0
7124,5,592,2025-06-19 05:14:15.064194,496.6980873592403,USD,POS,ios,Calgary,CA,4789,Travel,2960968.0,2713.451387823102,1,1.3459821054895735,5,3,0,0.1482777617140995,12,0.3,Paris,FR,0
13381,5,297,2025-09-01 03:53:12.064194,46.3113351047459,CAD,POS,ios,Calgary,CA,4812,Telecom,6388737.0,0.0,1,-0.5514504657813472,3,0,1,0.1482777617140995,86,0.10428212875647389,Paris,FR,0
14482,6,112,2025-04-13 18:26:35.064194,14.347414054541227,EUR,POS,android,Calgary,CA,5812,Restaurants,,,1,-1.5994369281959593,18,6,0,0.1392834523223297,94,0.08,Mexico City,MX,0
17310,6,227,2025-06-07 21:00:33.064194,59.406636253675806,USD,POS,android,New York,US,7995,Gambling,4761238.0,3259.704429095504,1,0.43553980199483405,21,5,0,0.1392834523223297,149,0.3,Mexico City,MX,0
10421,6,102,2025-08-03 04:24:29.064194,34.248330902348506,USD,ECOM,android,Chicago,US,5999,Misc Retail,4865036.0,1144.293899837519,1,-0.36451953252355546,4,6,1,0.1392834523223297,205,0.08,Mexico City,MX,0
15621,6,267,2025-08-06 14:13:47.064194,61.100287578278596,CAD,ECOM,android,Paris,FR,5411,Grocery,294558.0,6650.627144116943,1,0.47660857653424943,14,2,0,0.1392834523223297,209,0.08521372760339643,Mexico City,MX,0
6161,6,528,2025-08-08 14:11:44.064194,104.03533780180796,CAD,POS,android,Mexico City,MX,5411,Grocery,172677.0,9196.254187484436,1,1.2571601908055725,14,4,0,0.1392834523223297,211,0.12808996055254795,Mexico City,MX,0
19599,6,171,2025-09-21 04:49:10.064194,23.480177571638368,CAD,POS,android,Vancouver,CA,4121,Taxis,3767846.0,3946.4827971478617,1,-0.9059630139868416,4,6,1,0.1392834523223297,254,0.08,Mexico City,MX,0
18567,6,397,2025-09-21 09:40:15.064194,71.20950055056251,CAD,ECOM,android,London,UK,7995,Gambling,17465.0,7578.211877858139,1,0.7006109053716986,9,6,0,0.1392834523223297,255,0.3083746095952186,Mexico City,MX,0
